AccountName,Name,Subscribers,Views,Likes,Comments,Shares
thehealchef,Harry Heal,3M,4.2M,538.7K,3.6K,3.7K
anaraquelhz,Raquel,5.4M,3.8M,331.9K,2.7K,9.8K
sara.wais,Sara Waisglass,4.3M,3.9M,827.2K,3.5K,1.3K
cassmakeshome,CASSMAKESHOME | HOME & DIY,719K,2M,268.2K,22.6K,5.5K
jypestraykids,Stray Kids,14.7M,2.3M,607.1K,7K,3.7K
cocielo,Júlio Cocielo,5.2M,3.2M,451.2K,2.8K,7.2K
meghantrainor,Meghan Trainor,13.6M,6.1M,905.1K,1.7K,936
spriteder_spd,Prite Netijen Netirattanapaiboon,4.9M,7.4M,789.4K,1.5K,991
santiperezvivas,Santi Perez,3M,3.4M,638.3K,2.8K,3.8K
kurtisconner,kurtis conner,2M,1.9M,689.7K,7K,3.9K
alwaystaketwo,alwaystaketwo,3.5M,5.2M,667.4K,2.2K,1.8K
adamrayokay,ADAMRAY,7.1M,3.7M,594.5K,2.4K,3.9K
spencer_serafica,Xspencer,13.9M,4.3M,622K,3K,2.1K
nianaguerrero,Niana Guerrero,34.6M,5.5M,707.8K,1.8K,1.7K
zachking,Zach King,70.7M,9.3M,591K,1.1K,1.4K
imeyhou,Meyden,4.6M,6M,690.1K,2.5K,708
qamar_altaey,𝑄𝐴𝑀𝐴𝑅,4.3M,3.4M,313.1K,4.9K,7.2K
graciajessicajane,Jessica Jane🌙,11.6M,5.6M,690K,2K,1.4K
ferxxo444,Feid,4.6M,3.3M,522.7K,2.6K,4.8K
graciajessicajane,Jessica Jane🌙,11.6M,5.6M,690K,2K,1.4K
rodrigodabcasale,Rodrigo Casale (DAB ADDICTION),1.2M,2.4M,401.7K,6.4K,6.8K
nourmar5,nourmar5,14.7M,3.1M,190.4K,10K,11.6K
calebrownn,Cale Brown,5.7M,4.4M,527K,1.7K,3.8K
shxtsngigs,ShxtsNGigs Podcast,5.5M,3.3M,569.1K,1.5K,5.3K
jasonderulo,Jason Derulo,56.1M,3.4M,225.5K,561,15.8K
esnyrrr,Esnyr,5.8M,4.4M,756.2K,1.8K,1.9K
saraisthreads,Sarai Marie,2.1M,3.6M,531.8K,4K,2.3K
billlnai,nai,8.8M,3.8M,996.6K,1.8K,1.3K
lance210,Lance Stewart,22.6M,4.4M,398.9K,1.3K,5.5K
strangehuman,nova,11.1M,4.5M,600.7K,2.5K,1.7K
herranwalt,Herr Anwalt,5.9M,2.8M,363.4K,4.3K,6.8K
btswings7,BTS,4.8M,1.6M,520.3K,3K,10.5K
christophersturniolo,Christopher Sturniolo,3.8M,3.4M,593K,3.5K,2K
fhd.artz,فهد آرت || Fahad🎨,2.3M,4.3M,320.9K,4.6K,3.5K
pongamoslo_a_prueba,Pongámoslo a Prueba,37.6M,6.1M,662.6K,1.7K,1.1K
jaywheeler,Jay Wheeler,6.1M,4.2M,725.7K,1.7K,1.9K
sijad_qasim,سجاد قاسم,2.3M,5.9M,171.6K,4K,6.9K
itsjaylaaw,🖤🖤🖤,2.9M,3.3M,553.5K,4.7K,1.4K
olisboa,LISBOA,3.9M,4.7M,848.7K,941,1.8K
maiaknight,Maia Knight,8.8M,5.4M,807.1K,1.2K,1.3K
beyonce,Beyoncé,4.3M,2.1M,496.5K,7K,3.5K
shakira,Shakira,26.5M,4.7M,401.2K,2.4K,3.4K
ivanaalawi,Ivana Alawi,8.6M,5.9M,606.5K,2K,956
albert_cancook,albert_cancook,9.2M,5.3M,441.9K,3K,1.5K
chinamcclain,China,16.4M,3.1M,783.6K,2.1K,2K
nadbilqis,nadb,219.1K,3.5M,414.7K,2.5K,4.4K
gordonramsayofficial,Gordon Ramsay,34.7M,6.2M,561.4K,1.7K,1.2K
firmanskd,𝙆𝙊𝘾𝘼𝙉,3M,3M,287.9K,891,10.8K
jennyhan,Jenny Han,2M,3.1M,561.2K,2.7K,2.9K
pablitocastilloo,pablitocastilloo,6.1M,2.9M,277K,1.4K,10.7K
ndshvv,ndshvv,3.9M,4.4M,578.7K,2.9K,955
